[BEGIN] 12/6/2019 4:42:45 PM
[ 4481.129598] (0)-2539	[[HDMI][PWR][WARN]] PWR_STS : FG_HDMI=1, P0/P1/P2/P3(active,fsm,vs_cnt,pol,int) =  P0(0,PS_OFF,0,0,0)/P1(0,PS_OFF,0,0,0)/P2(0,PS_OFF,0,0,0)/P3(1,PS_OFF,195256,1,0)
[ 4499.737411] (0)-0000	16,579,770,1366,1089,675,396,223,125,54,38,22,19,9,8,6,2,1,0,0,
[ 4500.733808] part1,11,118,267,533,682,664,715,188,133,95,58,42,16,10,9,10,10,2,2,6,
[ 4500.741756] part2,32,202,476,520,460,329,261,158,135,92,46,25,22,16,10,5,3,1,0,7,
[ 4500.749583] part3,10,74,158,224,191,203,132,78,47,20,12,10,5,4,1,1,0,0,0,0,
[ 4500.756881] part4,7,91,208,268,415,387,348,223,161,129,65,47,40,16,16,6,2,4,2,2,
[ 4500.764617] part5,6,588,588,736,294,217,185,139,76,34,27,9,9,4,3,1,0,0,0,1,
[ 4501.459504] (3)-2539	[[HDMI][PWR][WARN]] PWR_STS : FG_HDMI=1, P0/P1/P2/P3(active,fsm,vs_cnt,pol,int) =  P0(0,PS_OFF,0,0,0)/P1(0,PS_OFF,0,0,0)/P2(0,PS_OFF,0,0,0)/P3(1,PS_OFF,196434,1,0)
[ 4501.767171] part1,2,25,43,33,15,502,428,53,21,10,6,4,6,3,4,3,3,2,0,0,
[ 4501.773986] part2,25,117,335,265,140,59,25,10,6,8,9,9,10,4,8,2,1,3,0,2,
[ 4501.780932] part3,10,82,111,94,110,70,103,104,103,80,83,42,45,27,18,8,26,11,12,21,
[ 4501.788848] part4,2,55,59,101,92,70,77,42,28,13,15,19,26,10,9,9,2,2,0,1,
[ 4501.795895] part5,52,727,416,748,145,67,30,30,28,11,13,8,6,2,2,0,0,0,0,0,
[ 4502.709529] (0)-2541	[[HDMI][AUDIOF]] Audio STS : FSM=5(CHECK), hbr=0/0, sample_cnt= 166976, hbr_sample_cnt=0, fifo_ov=0, type=2(LPCM), ch_mode=0, ch_num=2, acr_freq=48000, wait_acr_cnt=1
[ 4502.800503] part1,0,12,38,27,43,474,145,45,9,13,3,0,1,0,0,0,0,0,0,0,
[ 4502.807218] part2,21,108,349,293,141,55,17,15,2,4,3,0,0,0,0,0,0,0,0,0,
[ 4502.814073] part3,3,61,100,108,71,19,37,20,9,9,11,7,6,2,0,0,0,1,0,0,
[ 4502.820780] part4,0,7,4,2,4,3,12,18,9,9,3,0,0,0,0,0,0,0,0,0,
[ 4502.826767] part5,13,608,563,299,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
[ 4503.833850] part1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
[ 4503.839675] part2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
[ 4503.845504] part3,0,0,0,0,
[ 4503.848111] (1)-0000	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
[ 4503.853622] part4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
[ 4503.859424] part5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

[END] 12/6/2019 4:43:19 PM
